loc_id,ship-state,ship-city,ship-postal-code
13149,ANDHRA PRADESH,PEDAPADU MANDAL,534437
13150,TAMIL NADU,KURINJIPADI,607302
13151,KERALA,PATHANAMTHITTA,689614
13152,PUNJAB,DERABASSI,140603
13153,UTTAR PRADESH,BANSI,272153
13154,WEST BENGAL,DHANIAKHALI,712302
13155,KARNATAKA,BENGALURUBANGALORE,560100
13156,MAHARASHTRA,KALWA,400605
13157,TAMIL NADU,"AKASH NAGAR ANNEXE, MANIMEDU",600128
13158,ANDHRA PRADESH,AMALAPURAM,533222
13159,MAHARASHTRA,NALASOPARA,401203
13160,MADHYA PRADESH,DAMUA,480555
13161,DELHI,DELHI,110076
13162,TAMIL NADU,PILLANALLUR,637403
13163,PUNJAB,FIROZPUR,152003
13164,WEST BENGAL,KAKDWIP,743347
13165,ANDHRA PRADESH,ONGOLE,523272
13166,KERALA,NEYYATTINKARA,695133
13167,ANDHRA PRADESH,CHITTOOR,517172
13168,TAMIL NADU,CHETTIPALAYAM COIMBATORE DISTRICT,641201
13169,UTTAR PRADESH,GORAKHPUR,273202
13170,KERALA,PERINTHALMANNA,679340
13171,ANDHRA PRADESH,KADAPA,516312
13172,UTTAR PRADESH,LALGANJ AZAMGARH U. P,276202
13173,TAMIL NADU,NEW PERUNGALATHUR,600063
13174,TAMIL NADU,TINDIVANAM,604303
13175,TELANGANA,MAHBUBNAGAR,509207
13176,KERALA,NADAPURAM,673506
13177,MAHARASHTRA,"BUTIBORI MIDC,",441122
13178,MAHARASHTRA,ARVI,442201
13179,ANDHRA PRADESH,GANTYADA,535215
13180,KERALA,PALAKKAD,678632
13181,MAHARASHTRA,"SOPANBAUG, PUNE",411001
13182,CHHATTISGARH,"KARGIKALA, KOTA, BILASPUR",495113
13183,UTTAR PRADESH,GOVINDPURAM,201013
13184,KERALA,VADUTHALA,682023
13185,KERALA,THRISSUR,680702
13186,WEST BENGAL,BARASAT - I,700126
13187,TAMIL NADU,ORAGADAM,602105
13188,KERALA,KUNNUMMAL,673508
13189,ANDHRA PRADESH,CHITVEL,516110
13190,MAHARASHTRA,NANDGAON,423106
13191,KERALA,KANNUR,670741
13192,UTTAR PRADESH,BULANDSHAHR,203150
13193,CHHATTISGARH,NAWAGARH JANJGIR,495557
13194,TELANGANA,HYDERABAD SECUNDERABAD,500025
13195,JHARKHAND,KODARMA,825410
13196,MADHYA PRADESH,BANDHAWAGARH,484661
13197,GUJARAT,VIJALPOR,396445
13198,GOA,BAMBOLIM,403201
13199,WEST BENGAL,RAIDIGHI,743383
13200,KERALA,"PALA, KOTTAYAM",686575
13201,KARNATAKA,MANGALURU,575026
13202,TELANGANA,VIKARABAD PUDUR,501101
13203,HARYANA,"BHAKALI, REWARI",123302
13204,KARNATAKA,KADUR,577135
13205,GUJARAT,"BAPUNAGAR,AHMEDABAD",380024
13206,MADHYA PRADESH,RAU,453556
13207,MAHARASHTRA,MAHOOR,431721
13208,KERALA,PULIKKAL,673637
13209,GOA,TISWADI,403110
13210,PUNJAB,"GREATER  MOHALI  / KHARAR  , PUNJAB",140301
13211,UTTAR PRADESH,RANIPUR,284205
13212,TAMIL NADU,PONNERI. CHENNAI,601204
13213,TAMIL NADU,CHENNAI 126,600126
13214,WEST BENGAL,DARJILING,734009
13215,ANDHRA PRADESH,"GUDIVADA, KRISHNA DISTRICT",521301
13216,KARNATAKA,MYSORE,560017
13217,ODISHA,JAJPUR,754205
13218,KERALA,PERUMBAVOOR,683548
13219,ODISHA,KHURDA,752055
13220,NEW DELHI,NEW DELHI,110003
13221,KERALA,THIRUVANANTHAPURAM,695612
13222,KARNATAKA,RAMDURG,591123
13223,KARNATAKA,MALUR,563130
13224,UTTARAKHAND,DHANUALTI,249145
13225,UTTARAKHAND,ALMORA,263629
13226,KARNATAKA,UDUPI,576229
13227,KARNATAKA,AURAD,585326
13228,TAMIL NADU,UTHUKULI,638751
13229,KERALA,MADAPPALLY COLLEGE,673102
13230,GUJARAT,MEHMDABAD,387130
13231,MADHYA PRADESH,NARSINGHPUR,487110
13232,KERALA,CHENNITHALA,690104
13233,KARNATAKA,PADUBIDRI,574111
13234,ASSAM,LAKHIPUR CACHAR DISTRICT,788126
13235,GUJARAT,AHMEDABAD,382346
13236,ORISSA,BHUBANESWAR,751016
13237,ODISHA,ROURKELA- 769012,769012
13238,KERALA,"RAMAPURAM, PALA, KOTTAYAM",686576
13239,TELANGANA,HYDERABAD,500873
13240,KERALA,KANNUR,670010
13241,MADHYA PRADESH,WEST NIMAR,451001
13242,ASSAM,NAGAON,782442
13243,TAMIL NADU,KALPAKKKAM,603102
13244,TELANGANA,"POTHREDDIPALLY, SANGAREDDY",502295
13245,HIMACHAL PRADESH,HAMIRPUR,176044
13246,ODISHA,BHUBANESHWAR,752101
13247,ARUNACHAL PRADESH,LONGDING-DISTRICT . ARUNACHAL PRADESH,786631
13248,KERALA,ALATHUR,678541
13249,MAHARASHTRA,KURULI,410501
13250,UTTAR PRADESH,DHAULI PAYU ...MATHURA,281001
13251,GOA,USGAO,403406
13252,KARNATAKA,BENGALURU.,560062
13253,MADHYA PRADESH,CHHINDWARA,480441
13254,GOA,VASCO-DA-GAMA,403711
13255,RAJASTHAN,SIKAR,332405
13256,KERALA,CHETTUVA,680616
13257,WEST BENGAL,JHANTI PAHARI,722137
13258,MAHARASHTRA,KURLA WEST MUMBAI,400070
13259,TELANGANA,SECUNDERABAD-25,500025
13260,JHARKHAND,GUMIA,829128
13261,ODISHA,TIKARPADA,765020
13262,ODISHA,TANGI,752022
13263,TAMIL NADU,MUTHUR,642005
13264,TAMIL NADU,TIRUPPUR,641687
13265,KERALA,"IRITTY,KANNUR",670703
13266,MADHYA PRADESH,BADA BAZAR SAGAR,470002
13267,HIMACHAL PRADESH,SHIMLA,171007
13268,KERALA,CHATHANNOOR,691572
13269,ODISHA,MALKANGIRI,764048
13270,MADHYA PRADESH,DINDORI,481882
13271,KERALA,PULPALLY,673579
13272,ODISHA,TITILAGARH,767066
13273,KERALA,"ALAPUZHA,KAYAMKULLAM",690531
13274,KARNATAKA,BANGALORE,560051
13275,UTTARAKHAND,1,248001
13276,TELANGANA,"KPHB 9TH PHASE, NEAR FORUM MALL, HYDERABAD",500072
13277,TAMIL NADU,SANKARI(T.K),637303
13278,BIHAR,MOHAMMADPUR URF CHAINPUR,800001
13279,ODISHA,RENGALI,768212
13280,TAMIL NADU,AYACODE,629161
13281,RAJASTHAN,BHILWARA,311802
13282,KERALA,CHENGANNUR,689626
13283,ANDHRA PRADESH,KOTABAMMALI,532195
13284,KARNATAKA,SHEDBAL,591315
13285,BIHAR,VAISHALI,844505
